Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Savings,2022-07-15 14:22:39,2022-07-15 14:22:39,To pocket RON Instant Access Savings from RON,20.05,0,RON,COMPLETED,20.05
Transfer,Savings,2022-07-15 14:25:29,2022-07-15 14:25:29,Pocket Withdrawal,-20,0,RON,COMPLETED,0.05
Transfer,Savings,2022-07-15 19:59:58,2022-07-15 19:59:58,To pocket RON Instant Access Savings from RON,3.02,0,RON,COMPLETED,3.07
Transfer,Savings,2022-07-16 0:56:56,2022-07-16 0:56:56,Pocket Withdrawal,-3,0,RON,COMPLETED,0.07
Transfer,Savings,2022-07-16 1:34:12,2022-07-16 1:34:12,To pocket RON Instant Access Savings from RON,0.22,0,RON,COMPLETED,0.29
Transfer,Savings,2022-07-16 3:13:32,2022-07-16 3:13:32,To pocket RON Instant Access Savings from RON,5,0,RON,COMPLETED,5.29
Transfer,Savings,2022-07-16 3:14:59,2022-07-16 3:14:59,Pocket Withdrawal,-5,0,RON,COMPLETED,0.29
Transfer,Savings,2022-07-16 4:10:29,2022-07-16 4:10:29,To pocket RON Instant Access Savings from RON,3.23,0,RON,COMPLETED,3.52
Transfer,Savings,2022-07-16 17:27:07,2022-07-16 17:27:07,Pocket Withdrawal,-3.5,0,RON,COMPLETED,0.02
Transfer,Savings,2022-07-18 11:46:49,2022-07-18 11:46:49,To pocket RON Instant Access Savings from RON,10,0,RON,COMPLETED,10.02
Transfer,Savings,2022-07-20 10:23:30,2022-07-20 10:23:30,Pocket Withdrawal,-10,0,RON,COMPLETED,0.02
Transfer,Savings,2022-07-20 10:46:20,2022-07-20 10:46:20,To pocket RON Instant Access Savings from RON,1.71,0,RON,COMPLETED,1.73
Transfer,Savings,2022-07-20 15:32:59,2022-07-20 15:32:59,To pocket RON Instant Access Savings from RON,0.13,0,RON,COMPLETED,1.86
Transfer,Savings,2022-07-21 17:14:44,2022-07-21 17:14:44,To pocket RON Instant Access Savings from RON,1.95,0,RON,COMPLETED,3.81
Transfer,Savings,2022-07-21 17:25:12,2022-07-21 17:25:12,To pocket RON Instant Access Savings from RON,1.8,0,RON,COMPLETED,5.61
Transfer,Savings,2022-07-21 19:02:50,2022-07-21 19:02:50,To pocket RON Instant Access Savings from RON,2.1,0,RON,COMPLETED,7.71
Transfer,Savings,2022-07-22 17:03:26,2022-07-22 17:03:26,To pocket RON Instant Access Savings from RON,0.31,0,RON,COMPLETED,8.02
Transfer,Savings,2022-07-23 22:53:45,2022-07-23 22:53:45,To pocket RON Instant Access Savings from RON,2,0,RON,COMPLETED,10.02
Transfer,Savings,2022-07-24 18:05:58,2022-07-24 18:05:58,To pocket RON Instant Access Savings from RON,0.27,0,RON,COMPLETED,10.29
Transfer,Savings,2022-07-25 11:51:31,2022-07-25 11:51:31,To pocket RON Instant Access Savings from RON,10,0,RON,COMPLETED,20.29
Transfer,Savings,2022-07-25 18:10:13,2022-07-25 18:10:13,To pocket RON Instant Access Savings from RON,2.5,0,RON,COMPLETED,22.79
Transfer,Savings,2022-07-26 12:16:26,2022-07-26 12:16:26,To pocket RON Instant Access Savings from RON,1.34,0,RON,COMPLETED,24.13
Transfer,Savings,2022-07-27 10:20:48,2022-07-27 10:20:48,To pocket RON Instant Access Savings from RON,1,0,RON,COMPLETED,25.13
Transfer,Savings,2022-07-27 13:22:59,2022-07-27 13:22:59,To pocket RON Instant Access Savings from RON,3.92,0,RON,COMPLETED,29.05
Transfer,Savings,2022-07-29 18:01:37,2022-07-29 18:01:37,To pocket RON Instant Access Savings from RON,3,0,RON,COMPLETED,32.05
Transfer,Savings,2022-07-29 20:47:31,2022-07-29 20:47:31,To pocket RON Instant Access Savings from RON,0.6,0,RON,COMPLETED,32.65
Transfer,Savings,2022-07-31 20:10:20,2022-07-31 20:10:20,Pocket Withdrawal,-32.65,0,RON,COMPLETED,0
Transfer,Savings,2022-08-01 12:27:54,2022-08-01 12:27:54,To pocket RON Instant Access Savings from RON,10,0,RON,COMPLETED,10
Transfer,Savings,2022-08-01 17:24:42,2022-08-01 17:24:42,Pocket Withdrawal,-10,0,RON,COMPLETED,0
Transfer,Savings,2022-08-04 15:25:56,2022-08-04 15:25:56,To pocket RON Instant Access Savings from RON,0.31,0,RON,COMPLETED,0.31
Transfer,Savings,2022-08-05 7:04:03,2022-08-05 7:04:03,To pocket RON Instant Access Savings from RON,2.86,0,RON,COMPLETED,3.17
Transfer,Savings,2022-08-05 12:12:16,2022-08-05 12:12:16,To pocket RON Instant Access Savings from RON,1,0,RON,COMPLETED,4.17
Transfer,Savings,2022-08-05 17:12:34,2022-08-05 17:12:34,To pocket RON Instant Access Savings from RON,4,0,RON,COMPLETED,8.17
Transfer,Savings,2022-08-05 18:30:01,2022-08-05 18:30:01,To pocket RON Instant Access Savings from RON,4.5,0,RON,COMPLETED,12.67
Transfer,Savings,2022-08-05 21:31:45,2022-08-05 21:31:45,To pocket RON Instant Access Savings from RON,5,0,RON,COMPLETED,17.67
Transfer,Savings,2022-08-05 21:48:51,2022-08-05 21:48:51,To pocket RON Instant Access Savings from RON,5,0,RON,COMPLETED,22.67
Transfer,Savings,2022-08-06 10:05:34,2022-08-06 10:05:34,To pocket RON Instant Access Savings from RON,3,0,RON,COMPLETED,25.67
Transfer,Savings,2022-08-06 11:13:49,2022-08-06 11:13:49,To pocket RON Instant Access Savings from RON,4.5,0,RON,COMPLETED,30.17
Transfer,Savings,2022-08-06 13:44:33,2022-08-06 13:44:33,To pocket RON Instant Access Savings from RON,3.5,0,RON,COMPLETED,33.67
Transfer,Savings,2022-08-06 15:42:54,2022-08-06 15:42:54,To pocket RON Instant Access Savings from RON,3,0,RON,COMPLETED,36.67
Transfer,Savings,2022-08-06 15:56:36,2022-08-06 15:56:36,Pocket Withdrawal,-36.67,0,RON,COMPLETED,0
Transfer,Savings,2022-08-06 17:10:56,2022-08-06 17:10:56,To pocket RON Instant Access Savings from RON,2,0,RON,COMPLETED,2
Transfer,Savings,2022-08-06 23:32:48,2022-08-06 23:32:48,To pocket RON Instant Access Savings from RON,3,0,RON,COMPLETED,5
Transfer,Savings,2022-08-07 11:09:09,2022-08-07 11:09:09,Pocket Withdrawal,-5,0,RON,COMPLETED,0
Transfer,Savings,2023-01-29 18:50:42,2023-01-29 18:50:42,To pocket RON Economii from RON,1550,0,RON,COMPLETED,1550
Transfer,Savings,2023-01-29 18:54:10,2023-01-29 18:54:10,To pocket RON Economii from RON,185,0,RON,COMPLETED,1735
Transfer,Savings,2023-02-02 10:55:47,2023-02-02 10:55:47,To pocket RON Economii from RON,800,0,RON,COMPLETED,2535
Transfer,Savings,2023-02-10 12:14:35,2023-02-10 12:14:35,Pocket Withdrawal,-400,0,RON,COMPLETED,2135
Transfer,Savings,2023-02-16 18:57:35,2023-02-16 18:57:35,Pocket Withdrawal,-5,0,RON,COMPLETED,2130
Transfer,Savings,2023-02-20 7:09:48,2023-02-20 7:09:48,Pocket Withdrawal,-2130,0,RON,COMPLETED,0
Transfer,Savings,2023-04-23 11:19:14,2023-04-23 11:19:14,To pocket RON Economii from RON,4500,0,RON,COMPLETED,4500
Transfer,Savings,2023-04-24 11:17:44,2023-04-24 11:17:44,Pocket Withdrawal,-2000,0,RON,COMPLETED,2500
Transfer,Savings,2023-05-16 14:40:02,2023-05-16 14:40:02,Pocket Withdrawal,-900,0,RON,COMPLETED,1600
Transfer,Savings,2023-05-16 14:41:48,2023-05-16 14:41:48,Pocket Withdrawal,-100,0,RON,COMPLETED,1500
Transfer,Savings,2023-05-16 16:13:05,2023-05-16 16:13:05,Pocket Withdrawal,-500,0,RON,COMPLETED,1000
Transfer,Savings,2023-05-30 10:45:57,2023-05-30 10:45:57,To pocket RON Economii from RON,800,0,RON,COMPLETED,1800
Transfer,Savings,2023-05-30 14:37:45,2023-05-30 14:37:45,Pocket Withdrawal,-150,0,RON,COMPLETED,1650
Transfer,Savings,2023-05-30 16:32:07,2023-05-30 16:32:07,Pocket Withdrawal,-150,0,RON,COMPLETED,1500
Transfer,Savings,2023-05-30 17:32:39,2023-05-30 17:32:39,To pocket RON Economii from RON,150,0,RON,COMPLETED,1650
Transfer,Savings,2023-05-30 21:30:19,2023-05-30 21:30:19,Pocket Withdrawal,-100,0,RON,COMPLETED,1550
Transfer,Savings,2023-06-02 16:36:49,2023-06-02 16:36:49,Pocket Withdrawal,-5,0,RON,COMPLETED,1545
Transfer,Savings,2023-06-03 17:36:22,2023-06-03 17:36:22,To pocket RON Economii from RON,5,0,RON,COMPLETED,1550
Transfer,Savings,2023-06-07 11:40:08,2023-06-07 11:40:08,Pocket Withdrawal,-800,0,RON,COMPLETED,750
Transfer,Savings,2023-06-08 13:13:16,2023-06-08 13:13:16,Pocket Withdrawal,-150,0,RON,COMPLETED,600
Transfer,Savings,2023-06-09 12:19:45,2023-06-09 12:19:45,To pocket RON Economii from RON,150,0,RON,COMPLETED,750
Transfer,Savings,2023-06-09 16:55:49,2023-06-09 16:55:49,Pocket Withdrawal,-200,0,RON,COMPLETED,550
Transfer,Savings,2023-06-10 10:13:05,2023-06-10 10:13:05,Pocket Withdrawal,-40,0,RON,COMPLETED,510
Transfer,Savings,2023-06-10 23:05:13,2023-06-10 23:05:13,Pocket Withdrawal,-10,0,RON,COMPLETED,500
Transfer,Savings,2023-06-12 14:23:29,2023-06-12 14:23:29,Pocket Withdrawal,-400,0,RON,COMPLETED,100
Transfer,Savings,2023-06-16 15:52:46,2023-06-16 15:52:46,Pocket Withdrawal,-100,0,RON,COMPLETED,0
Transfer,Savings,2023-06-22 11:43:56,2023-06-22 11:43:56,To pocket RON Economii from RON,100,0,RON,COMPLETED,100
Transfer,Savings,2023-07-05 16:42:56,2023-07-05 16:42:56,To pocket RON Economii from RON,800,0,RON,COMPLETED,900
Transfer,Savings,2023-07-18 15:31:20,2023-07-18 15:31:20,Pocket Withdrawal,-50,0,RON,COMPLETED,850
Transfer,Savings,2023-07-28 22:04:53,2023-07-28 22:04:53,To pocket RON Economii from RON,850,0,RON,COMPLETED,1700
Transfer,Savings,2023-08-01 0:17:02,2023-08-01 0:17:02,Pocket Withdrawal,-1500,0,RON,COMPLETED,200
Transfer,Savings,2023-08-01 0:24:16,2023-08-01 0:24:16,To pocket RON Economii from RON,185,0,RON,COMPLETED,385
Transfer,Savings,2023-08-26 13:04:57,2023-08-26 13:04:57,To pocket RON Economii from RON,800,0,RON,COMPLETED,1185
Transfer,Savings,2023-09-02 15:52:33,2023-09-02 15:52:33,To pocket RON Economii from RON,65,0,RON,COMPLETED,1250
Transfer,Savings,2023-09-04 18:07:24,2023-09-04 18:07:24,To pocket RON Economii from RON,250,0,RON,COMPLETED,1500
Transfer,Savings,2023-09-08 17:59:36,2023-09-08 17:59:36,Pocket Withdrawal,-110,0,RON,COMPLETED,1390
Transfer,Savings,2023-09-29 14:26:31,2023-09-29 14:26:31,Pocket Withdrawal,-40,0,RON,COMPLETED,1350
Transfer,Savings,2023-09-29 14:26:45,2023-09-29 14:26:45,Pocket Withdrawal,-1,0,RON,COMPLETED,1349
Transfer,Savings,2023-09-30 12:55:44,2023-09-30 12:55:44,Pocket Withdrawal,-49,0,RON,COMPLETED,1300
Transfer,Savings,2023-09-30 19:52:54,2023-09-30 19:52:54,Pocket Withdrawal,-50,0,RON,COMPLETED,1250
Transfer,Savings,2023-10-02 21:44:46,2023-10-02 21:44:46,Pocket Withdrawal,-100,0,RON,COMPLETED,1150
Transfer,Savings,2023-10-04 16:21:54,2023-10-04 16:21:54,Pocket Withdrawal,-50,0,RON,COMPLETED,1100
Transfer,Savings,2023-10-05 13:06:02,2023-10-05 13:06:02,To pocket RON Economii from RON,800,0,RON,COMPLETED,1900
Transfer,Savings,2023-10-06 17:13:53,2023-10-06 17:13:53,Pocket Withdrawal,-350,0,RON,COMPLETED,1550
Transfer,Savings,2023-10-06 17:17:33,2023-10-06 17:17:33,To pocket RON Economii from RON,160,0,RON,COMPLETED,1710
Transfer,Savings,2023-10-07 13:31:44,2023-10-07 13:31:44,Pocket Withdrawal,-710,0,RON,COMPLETED,1000
Transfer,Savings,2023-10-16 10:08:20,2023-10-16 10:08:20,Pocket Withdrawal,-1000,0,RON,COMPLETED,0
Transfer,Savings,2023-11-26 19:46:47,2023-11-26 19:46:47,To pocket RON Economii from RON,1500,0,RON,COMPLETED,1500
Transfer,Savings,2023-11-26 19:46:53,2023-11-26 19:46:53,To pocket RON Economii from RON,10,0,RON,COMPLETED,1510
Transfer,Savings,2023-11-27 13:54:24,2023-11-27 13:54:24,Pocket Withdrawal,-580,0,RON,COMPLETED,930
Transfer,Savings,2023-11-27 15:35:06,2023-11-27 15:35:06,To pocket RON Economii from RON,23275,0,RON,COMPLETED,24205
Transfer,Savings,2023-11-27 15:50:46,2023-11-27 15:50:46,To pocket RON Economii from RON,5,0,RON,COMPLETED,24210
Transfer,Savings,2023-11-29 13:33:32,2023-11-29 13:33:32,Pocket Withdrawal,-1510,0,RON,COMPLETED,22700
Transfer,Savings,2023-11-30 21:18:45,2023-11-30 21:18:45,Pocket Withdrawal,-200,0,RON,COMPLETED,22500
Transfer,Savings,2023-12-01 14:34:20,2023-12-01 14:34:20,Pocket Withdrawal,-100,0,RON,COMPLETED,22400
Transfer,Savings,2023-12-01 14:57:31,2023-12-01 14:57:31,To pocket RON Economii from RON,50,0,RON,COMPLETED,22450
Transfer,Savings,2023-12-03 17:32:23,2023-12-03 17:32:23,To pocket RON Economii from RON,250,0,RON,COMPLETED,22700
Transfer,Savings,2023-12-06 16:02:10,2023-12-06 16:02:10,To pocket RON Economii from RON,5000,0,RON,COMPLETED,27700
Transfer,Savings,2023-12-07 14:16:37,2023-12-07 14:18:12,To Compania Nationala Posta Romana,-5000,0,RON,COMPLETED,22700
Transfer,Savings,2023-12-07 14:16:11,2023-12-07 14:18:17,To Compania Nationala Posta Romana,-5000,0,RON,COMPLETED,17700
Transfer,Savings,2023-12-07 14:16:58,2023-12-07 14:19:03,To Compania Nationala Posta Romana,-5000,0,RON,COMPLETED,12700
Transfer,Savings,2023-12-07 14:17:34,2023-12-07 14:19:12,To Compania Nationala Posta Romana,-5000,0,RON,COMPLETED,7700
Transfer,Savings,2023-12-07 14:18:18,2023-12-07 14:20:14,To Compania Nationala Posta Romana,-5000,0,RON,COMPLETED,2700
Transfer,Savings,2023-12-12 12:14:12,2023-12-12 12:14:12,Pocket Withdrawal,-2600,0,RON,COMPLETED,100
Transfer,Savings,2023-12-12 12:17:36,2023-12-12 12:17:36,Pocket Withdrawal,-100,0,RON,COMPLETED,0
Transfer,Savings,2024-01-03 16:45:29,2024-01-03 16:45:29,To pocket RON Economii from RON,650,0,RON,COMPLETED,650
Transfer,Savings,2024-01-03 16:45:43,2024-01-03 16:45:43,Pocket Withdrawal,-50,0,RON,COMPLETED,600
Transfer,Savings,2024-01-03 18:49:40,2024-01-03 18:49:40,To pocket RON Economii from RON,50,0,RON,COMPLETED,650
Transfer,Savings,2024-01-03 21:28:54,2024-01-03 21:28:54,To pocket RON Economii from RON,500,0,RON,COMPLETED,1150
Transfer,Savings,2024-01-03 23:22:54,2024-01-03 23:22:54,To pocket RON Economii from RON,500,0,RON,COMPLETED,1650
Transfer,Savings,2024-01-05 22:49:56,2024-01-05 22:49:56,Pocket Withdrawal,-750,0,RON,COMPLETED,900
Transfer,Savings,2024-01-08 13:17:45,2024-01-08 13:17:45,Pocket Withdrawal,-450,0,RON,COMPLETED,450
Transfer,Savings,2024-01-12 19:55:02,2024-01-12 19:55:02,To pocket RON Economii from RON,5350,0,RON,COMPLETED,5800
Transfer,Savings,2024-01-13 17:15:34,2024-01-13 17:15:34,To pocket RON Economii from RON,50,0,RON,COMPLETED,5850
Transfer,Savings,2024-01-13 17:45:00,2024-01-13 17:45:00,To pocket RON Economii from RON,350,0,RON,COMPLETED,6200
Transfer,Savings,2024-01-13 22:08:21,2024-01-13 22:08:21,Pocket Withdrawal,-5000,0,RON,COMPLETED,1200
Transfer,Savings,2024-01-14 11:26:08,2024-01-14 11:26:08,Pocket Withdrawal,-200,0,RON,COMPLETED,1000
Transfer,Savings,2024-01-15 12:05:40,2024-01-15 12:05:40,Pocket Withdrawal,-1000,0,RON,COMPLETED,0
Transfer,Savings,2024-02-28 9:49:08,2024-02-28 9:49:08,To pocket RON Economii from RON,1500,0,RON,COMPLETED,1500
Transfer,Savings,2024-03-03 22:57:08,2024-03-03 22:57:08,Pocket Withdrawal,-450,0,RON,COMPLETED,1050
Transfer,Savings,2024-03-04 10:48:40,2024-03-04 10:48:40,Pocket Withdrawal,-50,0,RON,COMPLETED,1000
Transfer,Savings,2024-03-13 16:01:09,2024-03-13 16:01:09,Pocket Withdrawal,-1000,0,RON,COMPLETED,0
Transfer,Savings,2024-03-14 13:10:51,2024-03-14 13:10:51,To pocket RON Economii from RON,1000,0,RON,COMPLETED,1000
Transfer,Savings,2024-03-15 12:23:37,2024-03-15 12:23:37,Pocket Withdrawal,-25,0,RON,COMPLETED,975
Transfer,Savings,2024-03-15 15:09:19,2024-03-15 15:09:19,Pocket Withdrawal,-975,0,RON,COMPLETED,0
Transfer,Savings,2024-03-17 16:00:22,2024-03-17 16:00:22,To pocket RON Economii from RON,1000,0,RON,COMPLETED,1000
Transfer,Savings,2024-03-18 11:15:18,2024-03-18 11:15:18,Pocket Withdrawal,-1000,0,RON,COMPLETED,0
Transfer,Savings,2024-03-28 19:02:10,2024-03-28 19:02:10,To pocket RON Economii from RON,1200,0,RON,COMPLETED,1200
Transfer,Savings,2024-04-10 16:00:52,2024-04-10 16:00:52,Pocket Withdrawal,-10,0,RON,COMPLETED,1190
Transfer,Savings,2024-04-10 20:32:47,2024-04-10 20:32:47,To pocket RON Economii from RON,10,0,RON,COMPLETED,1200
Transfer,Savings,2024-04-10 20:32:54,2024-04-10 20:32:54,To pocket RON Economii from RON,500,0,RON,COMPLETED,1700
Transfer,Savings,2024-04-11 9:58:35,2024-04-11 9:58:35,To pocket RON Economii from RON,200,0,RON,COMPLETED,1900
Transfer,Savings,2024-04-11 9:58:49,2024-04-11 9:58:49,To pocket RON Economii from RON,100,0,RON,COMPLETED,2000
